DATE,Food_CPI,Lumber_PPI,Unemployment_Rate,Crude_Oil_WTI,Median_Home_Sales_Price,CPI_All_Urban_Consumers,Median_Household_Income,Federal_Minimum_Wage,Treasury_10yr,Treasury_2yr,PCE_Price_Index,Federal_Funds_Rate,M2_Money_Supply,Industrial_Production_Index,Retail_Sales,Credit_Card_Delinquency_Rate,Mortgage_Rate_30yr,Case_Shiller_Home_Price_Index,High_Yield_Credit_Spread,Student_Loan_Debt,Federal_Debt_Total,GDP_Growth_Rate,SP500,Gold_Price,Housing_Affordability_Index
1972-12,43.2,52.6,5.2,,29200.0,42.5,,1.6,6.3585,,21.63,5.33,802.3,43.7367,,,7.442,,,,448473.0,1.6744358499800605,,,
1973-01,44.0,53.0,4.9,,30200.0,42.7,,1.6,6.464545454545455,,21.695,5.94,810.3,44.0529,,,7.4375,,,,458606.0,2.4749417308557398,,,
1973-02,44.6,56.5,5.0,,29200.0,43.0,,1.6,6.635555555555555,,21.809,6.58,814.1,44.6827,,,7.4399999999999995,,,,448473.0,2.4749417308557398,,,
1973-03,45.8,60.8,4.9,,30200.0,43.4,,1.6,6.709090909090909,,21.964,7.09,815.3,44.7045,,,7.458,,,,458606.0,2.4749417308557398,,,
1973-04,46.5,63.9,5.0,,32700.0,43.7,,1.6,6.6685,,22.127,7.12,819.7,44.6387,,,7.5424999999999995,,,,457317.0,1.0887434340660196,,,
1973-05,47.1,65.6,4.9,,30200.0,43.9,,1.6,6.847272727272727,,22.236,7.84,826.8,44.9429,,,7.6525,,,,458606.0,1.0887434340660196,,,
1973-06,47.6,64.3,4.9,,32700.0,44.2,,1.6,6.9,,22.363,8.49,833.3,45.0035,,,7.734,,,,457317.0,1.0887434340660196,,,
1973-07,47.7,62.4,4.8,,33500.0,44.2,,1.6,7.130952380952381,,22.444,10.4,836.5,45.1636,,,8.05,,,,460614.0,-0.5258383288382795,,,
1973-08,50.5,62.8,4.8,,32700.0,45.0,,1.6,7.404782608695652,,22.703,10.5,838.8,45.1019,,,8.496,,,,457317.0,-0.5258383288382795,,,
1973-09,50.4,63.9,4.8,,33500.0,45.2,,1.6,7.090526315789473,,22.793,10.78,839.3,45.4624,,,8.815,,,,460614.0,-0.5258383288382795,,,
1973-10,50.7,63.3,4.6,,34000.0,45.6,,1.6,6.7942857142857145,,22.922,10.01,842.6,45.847,,,8.77,,,,469073.0,0.9492308406954919,,,
1973-11,51.4,64.9,4.8,,33500.0,45.9,,1.6,6.7284999999999995,,23.11,10.03,848.9,46.0553,,,8.581999999999999,,,,460614.0,0.9492308406954919,,,
